solver_upper,solver_lower,Δp,seed,profit,market_share,num_evals,time,status
LD_CCSAQ,Ipopt,nothing,5,162860.81792287217,22.377943402548755,54,74.73434710502625,1
LD_CCSAQ,Ipopt,nothing,6,238090.28459416158,16.0151547078734,56,77.43051195144653,1
LD_CCSAQ,Ipopt,nothing,7,154809.254065423,16.97647571581712,55,78.2419638633728,1
LD_CCSAQ,Ipopt,nothing,8,186665.13050085382,13.90320875043978,54,73.58215618133545,1
LD_CCSAQ,Ipopt,nothing,9,103830.54778112366,29.50307082154892,46,69.35896801948547,1
LD_CCSAQ,Ipopt,nothing,10,190069.37436692233,10.537467135211093,56,75.66284680366516,1
LD_SLSQP,Ipopt,nothing,1,202122.28641528555,2.267153756014537,100,131.90146803855896,1
LD_SLSQP,Ipopt,nothing,2,199331.8254757841,2.5237751272297952,100,138.61620903015137,1
LD_SLSQP,Ipopt,nothing,3,223750.4938407642,2.2014218689308698,100,134.73497080802917,1
LD_SLSQP,Ipopt,nothing,4,209293.7385906039,2.4208293676255077,100,129.0216929912567,1
LD_SLSQP,Ipopt,nothing,5,203328.36023899372,1.4604130279370071,97,135.48368501663208,1
LD_SLSQP,Ipopt,nothing,6,231355.38333033636,2.0340602661021707,100,140.8066110610962,1
LD_SLSQP,Ipopt,nothing,7,242495.6487788387,4.432860622983777,100,136.01385188102722,1
LD_SLSQP,Ipopt,nothing,8,187208.17397587682,1.6937783334110903,100,127.55766701698303,1
LD_SLSQP,Ipopt,nothing,9,190462.07305198105,2.353980987448582,100,133.07019090652466,1
LD_SLSQP,Ipopt,nothing,10,184874.85776357268,2.6584992062203487,100,135.63582706451416,1
LN_NELDERMEAD,Ipopt,0.0,1,142797.72464495822,5.161901992702432,100,80.62988901138306,5
LN_NELDERMEAD,Ipopt,0.0,2,162906.03031494704,6.7877009221550555,100,82.2264289855957,5
LN_NELDERMEAD,Ipopt,0.0,3,187053.40210264924,6.456494149939711,100,76.6717300415039,5
LN_NELDERMEAD,Ipopt,0.0,4,122654.05499742832,4.8276997818123775,100,71.19857501983643,5
LN_NELDERMEAD,Ipopt,0.0,5,181280.52587454475,5.6929535395111825,100,79.03099584579468,5
LN_NELDERMEAD,Ipopt,0.0,6,143977.16792034736,5.214501855637245,100,79.06425786018372,5
LN_NELDERMEAD,Ipopt,0.0,7,191823.29265087267,6.515167628903469,100,85.2777590751648,5
LN_NELDERMEAD,Ipopt,0.0,8,129787.3066354752,4.8447342062259375,100,74.79859685897827,5
LN_NELDERMEAD,Ipopt,0.0,9,125691.36379888249,4.614137285862181,100,77.564857006073,5
LN_NELDERMEAD,Ipopt,0.0,10,115360.68662683672,3.744635559065837,100,75.56841897964478,5
LN_NEWUOA_BOUND,Ipopt,0.0,1,114609.03285998756,3.5386258929295185,100,77.19337701797485,5
LN_NEWUOA_BOUND,Ipopt,0.0,2,126877.25981097147,4.278105995840755,100,80.73210501670837,5
LN_NEWUOA_BOUND,Ipopt,0.0,3,179484.56136182434,5.774421048335941,100,77.0150978565216,5
LN_NEWUOA_BOUND,Ipopt,0.0,4,69624.62873078427,2.2157777785271127,100,72.36222410202026,5
LN_NEWUOA_BOUND,Ipopt,0.0,5,185082.98766657148,6.148943205505296,100,80.79146790504456,5
LN_NEWUOA_BOUND,Ipopt,0.0,6,159079.53750403182,5.2054481202767695,100,80.37452101707458,5
LN_NEWUOA_BOUND,Ipopt,0.0,7,244099.06401609167,10.392530675873035,100,86.66114091873169,5
LN_NEWUOA_BOUND,Ipopt,0.0,8,41931.002594318015,1.18971351086284,100,75.69124221801758,5
LN_NEWUOA_BOUND,Ipopt,0.0,9,186785.7114113925,6.29186177667848,100,78.50683999061584,5
LN_NEWUOA_BOUND,Ipopt,0.0,10,30108.3054170366,0.9800887548124835,100,79.19660210609436,5
G_MLSL_LDS,Ipopt,0.0,1,105853.85021551093,40.9637678014902,100,85.87584209442139,5
G_MLSL_LDS,Ipopt,0.0,2,161395.64760316032,35.422872229648874,100,87.4148759841919,5
G_MLSL_LDS,Ipopt,0.0,3,85866.78664958006,35.958121523824374,100,90.04950094223022,5
G_MLSL_LDS,Ipopt,0.0,4,104546.12177641856,34.056326861683445,100,76.05526995658875,5
G_MLSL_LDS,Ipopt,0.0,5,132577.46325762256,40.43476393507388,100,81.02201795578003,5
G_MLSL_LDS,Ipopt,0.0,6,143977.16792034736,5.214501855637245,100,80.43115305900574,5
G_MLSL_LDS,Ipopt,0.0,7,171313.9448243225,5.7162965290433005,100,83.96484804153442,5
G_MLSL_LDS,Ipopt,0.0,8,129787.3066354752,4.8447342062259375,100,72.29825091362,5
G_MLSL_LDS,Ipopt,0.0,9,125391.20812140916,35.508563827663444,100,92.51962304115295,5
G_MLSL_LDS,Ipopt,0.0,10,145739.28083574225,35.126302700293266,100,83.76881694793701,5
